t,S,Sym,Power,Elite
1.841841841841841898e+01,1.688606732307503522e-01,2.951355743761669564e-02,2.196245380498349498e-01,1.256573269137267967e+00
1.846846846846846901e+01,1.698090476729474663e-01,2.953897544319285251e-02,2.187217390609070833e-01,1.257353366466620326e+00
1.851851851851851904e+01,1.707627484831225062e-01,2.956441533955628601e-02,2.178226511601009663e-01,1.258133948090727650e+00
1.856856856856856908e+01,1.717218055758265305e-01,2.958987714556001944e-02,2.169272590924427313e-01,1.258915014310246328e+00
1.861861861861861911e+01,1.726862490336203704e-01,2.961536088007333742e-02,2.160355476656661833e-01,1.259696565426019488e+00
1.866866866866866914e+01,1.736561091080177643e-01,2.964086656198175809e-02,2.151475017499553111e-01,1.260478601739077442e+00
1.871871871871871917e+01,1.746314162204345988e-01,2.966639421018706785e-02,2.142631062776872986e-01,1.261261123550637020e+00
1.876876876876876921e+01,1.756122009631426728e-01,2.969194384360733172e-02,2.133823462431772011e-01,1.262044131162102012e+00
1.881881881881881924e+01,1.765984941002299302e-01,2.971751548117691419e-02,2.125052067024228997e-01,1.262827624875063393e+00
1.886886886886886927e+01,1.775903265685648269e-01,2.974310914184648269e-02,2.116316727728520253e-01,1.263611604991299542e+00
1.891891891891891930e+01,1.785877294787670266e-01,2.976872484458302492e-02,2.107617296330691059e-01,1.264396071812776023e+00
1.896896896896896934e+01,1.795907341161832316e-01,2.979436260836985928e-02,2.098953625226041841e-01,1.265181025641646029e+00
1.901901901901901937e+01,1.805993719418683141e-01,2.982002245220666259e-02,2.090325567416624619e-01,1.265966466780249933e+00
1.906906906906906940e+01,1.816136745935724717e-01,2.984570439510945972e-02,2.081732976508746669e-01,1.266752395531116182e+00
1.911911911911911943e+01,1.826336738867332665e-01,2.987140845611067214e-02,2.073175706710490007e-01,1.267538812196960851e+00
1.916916916916916946e+01,1.836594018154738550e-01,2.989713465425910058e-02,2.064653612829234208e-01,1.268325717080688309e+00
1.921921921921921950e+01,1.846908905536062684e-01,2.992288300861995626e-02,2.056166550269195870e-01,1.269113110485390328e+00
1.926926926926926953e+01,1.857281724556408276e-01,2.994865353827486087e-02,2.047714375028971967e-01,1.269900992714347421e+00
1.931931931931931956e+01,1.867712800578009424e-01,2.997444626232188131e-02,2.039296943699100695e-01,1.270689364071028171e+00
1.936936936936936959e+01,1.878202460790436568e-01,3.000026119987552267e-02,2.030914113459623693e-01,1.271478224859089456e+00
1.941941941941941963e+01,1.888751034220858271e-01,3.002609837006676649e-02,2.022565742077666595e-01,1.272267575382376892e+00
1.946946946946946966e+01,1.899358851744362975e-01,3.005195779204305334e-02,2.014251687905024291e-01,1.273057415944924164e+00
1.951951951951951969e+01,1.910026246094339020e-01,3.007783948496832449e-02,2.005971809875756184e-01,1.273847746850954810e+00
1.956956956956956972e+01,1.920753551872906861e-01,3.010374346802301843e-02,1.997725967503795330e-01,1.274638568404879990e+00
1.961961961961961975e+01,1.931541105561419280e-01,3.012966976040409514e-02,1.989514020880562284e-01,1.275429880911300717e+00
1.966966966966966979e+01,1.942389245531012665e-01,3.015561838132506042e-02,1.981335830672593945e-01,1.276221684675006518e+00
1.971971971971971982e+01,1.953298312053224073e-01,3.018158935001594850e-02,1.973191258119175451e-01,1.277013980000976767e+00
1.976976976976976985e+01,1.964268647310658533e-01,3.020758268572336369e-02,1.965080165029991222e-01,1.277806767194379800e+00
1.981981981981981988e+01,1.975300595407728232e-01,3.023359840771048732e-02,1.957002413782774897e-01,1.278600046560573134e+00
1.986986986986986992e+01,1.986394502381442773e-01,3.025963653525708813e-02,1.948957867320978421e-01,1.279393818405104355e+00
1.991991991991991995e+01,1.997550716212264654e-01,3.028569708765953966e-02,1.940946389151443352e-01,1.280188083033710678e+00
1.996996996996996998e+01,2.008769586835021936e-01,3.031178008423083062e-02,1.932967843342087710e-01,1.280982840752318719e+00
2.002002002002002001e+01,2.020051466149887787e-01,3.033788554430059264e-02,1.925022094519598381e-01,1.281778091867045388e+00
2.007007007007007005e+01,2.031396708033418319e-01,3.036401348721509338e-02,1.917109007867132120e-01,1.282573836684197666e+00
2.012012012012012008e+01,2.042805668349647052e-01,3.039016393233727117e-02,1.909228449122033211e-01,1.283370075510272157e+00
2.017017017017017011e+01,2.054278704961256252e-01,3.041633689904673504e-02,1.901380284573549739e-01,1.284166808651956648e+00
2.022022022022022014e+01,2.065816177740793513e-01,3.044253240673978553e-02,1.893564381060569568e-01,1.284964036416128552e+00
2.027027027027027017e+01,2.077418448581965504e-01,3.046875047482942508e-02,1.885780605969356871e-01,1.285761759109856017e+00
2.032032032032032021e+01,2.089085881410985557e-01,3.049499112274537890e-02,1.878028827231306153e-01,1.286559977040397929e+00
2.037037037037037024e+01,2.100818842197992586e-01,3.052125436993410879e-02,1.870308913320697652e-01,1.287358690515203907e+00
2.042042042042042027e+01,2.112617698968526914e-01,3.054754023585882008e-02,1.862620733252468852e-01,1.288157899841914311e+00
2.047047047047047030e+01,2.124482821815076583e-01,3.057384873999947211e-02,1.854964156579989032e-01,1.288957605328360678e+00
2.052052052052052034e+01,2.136414582908685023e-01,3.060017990185282324e-02,1.847339053392849095e-01,1.289757807282565505e+00
2.057057057057057037e+01,2.148413356510622263e-01,3.062653374093239969e-02,1.839745294314655832e-01,1.290558506012742468e+00
2.062062062062062040e+01,2.160479518984131930e-01,3.065291027676854407e-02,1.832182750500834234e-01,1.291359701827296869e+00
2.067067067067067043e+01,2.172613448806226533e-01,3.067930952890842236e-02,1.824651293636447291e-01,1.292161395034824967e+00
2.072072072072072046e+01,2.184815526579566847e-01,3.070573151691603081e-02,1.817150795934013019e-01,1.292963585944115090e+00
2.077077077077077050e+01,2.197086135044397093e-01,3.073217626037221331e-02,1.809681130131340077e-01,1.293766274864147192e+00
2.082082082082082053e+01,2.209425659090550054e-01,3.075864377887467874e-02,1.802242169489365886e-01,1.294569462104092850e+00
2.087087087087087056e+01,2.221834485769519363e-01,3.078513409203801135e-02,1.794833787790008905e-01,1.295373147973315486e+00
2.092092092092092059e+01,2.234313004306604511e-01,3.081164721949369856e-02,1.787455859334023678e-01,1.296177332781371039e+00
2.097097097097097063e+01,2.246861606113111365e-01,3.083818318089012050e-02,1.780108258938872257e-01,1.296982016838007068e+00
2.102102102102102066e+01,2.259480684798640115e-01,3.086474199589259518e-02,1.772790861936595630e-01,1.297787200453164091e+00
2.107107107107107069e+01,2.272170636183420134e-01,3.089132368418335758e-02,1.765503544171702632e-01,1.298592883936974252e+00
2.112112112112112072e+01,2.284931858310735031e-01,3.091792826546161527e-02,1.758246181999060520e-01,1.299399067599762869e+00
2.117117117117117076e+01,2.297764751459402122e-01,3.094455575944352402e-02,1.751018652281798593e-01,1.300205751752047556e+00
2.122122122122122079e+01,2.310669718156330155e-01,3.097120618586222604e-02,1.743820832389218478e-01,1.301012936704538880e+00
