t,mode,x,y,z,h,e,r,gate,drive,effective_input
5.7700000000000005,activator_moderator,1.362275443463809,0.46493732973559543,-0.530108643322705,0.5205438396266101,0.11910355036590153,2.079878024890274,0.3126432226772581,0.1338631002441262,0.13467138759184596
5.78,activator_moderator,1.366924816761165,0.45963624330236835,-0.5377293540743148,0.5158371107988955,0.11950665634133602,2.0833665592732418,0.31316181291757234,0.13373422493825646,0.13454016309404676
5.79,activator_moderator,1.3715211791941886,0.45425894976162523,-0.5453706310811576,0.511115658242433,0.1199108228795683,2.086817872133515,0.3136822758514656,0.1336080133597054,0.13441165534291558
5.8,activator_moderator,1.376063768691805,0.44880524345081363,-0.5530320050564514,0.5063818871591685,0.12031602256760997,2.090231577971737,0.31420457925315376,0.1334844900518535,0.13428588904307187
5.8100000000000005,activator_moderator,1.380551821126313,0.4432749234002491,-0.5607129984570458,0.5016381843238247,0.12072222776827471,2.0936073034023894,0.3147286904614107,0.13336367880514563,0.13416288813573557
5.82,activator_moderator,1.3849845703603154,0.43766779341567863,-0.5684131254712845,0.4968869165087682,0.1211294106279725,2.096944687267152,0.3152545763876976,0.13324560264180746,0.13404267578345191
5.83,activator_moderator,1.3893612482944722,0.4319836621609658,-0.5761318920102628,0.4921304289470729,0.12153754308464688,2.100243380736917,0.31578220352457226,0.13313028380116287,0.13392527435542298
5.84,activator_moderator,1.393681084916082,0.42622234324086317,-0.583868795702512,0.48737104383489505,0.12194659687584875,2.1035030474022736,0.316311537954373,0.13301774372558103,0.13381070541347528
5.8500000000000005,activator_moderator,1.3979433083484905,0.42038365528383803,-0.5916233258921385,0.48261105887421957,0.12235654354693998,2.106723363352337,0.3168425453581697,0.13290800304708375,0.13369898969869365
5.86,activator_moderator,1.4021471449013287,0.41446742202491665,-0.5993949636404367,0.47785274585697196,0.12276735445942014,2.109904017241849,0.3173751910249766,0.13280108157463735,0.1335901471187459
5.87,activator_moderator,1.4062918191215779,0.4084734723885123,-0.6071831817309891,0.47309834929143185,0.1231790007993689,2.1130447103465593,0.31790943986121867,0.13269699828215303,0.1334841967359224
5.88,activator_moderator,1.410376553845463,0.40240164057120237,-0.6149874446782587,0.46835008507182035,0.12359145358599706,2.1161451566069447,0.3184452564004443,0.13259577129721606,0.1333811567559103
5.89,activator_moderator,1.4144005702511748,0.39625176612441976,-0.6228072087396725,0.46361013919187083,0.12400468368029845,2.11920508266041,0.3189826048132756,0.13249741789056155,0.13328104451732062
